2023-04-25 17:27:46.416 [restartedMain] INFO  com.nsapi.niceschoolapi.NiceschoolapiApplication - Starting NiceschoolapiApplication on DESKTOP-BJMJBA6 with PID 11212 (started by 13056 in C:\BaiDuYun\a01297t教务管理系统java源码\01、项目源码\教务系统源码)
2023-04-25 17:27:46.419 [restartedMain] INFO  com.nsapi.niceschoolapi.NiceschoolapiApplication - The following profiles are active: dev
2023-04-25 17:27:46.458 [restartedMain] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@5d4db2d8: startup date [Tue Apr 25 17:27:46 CST 2023]; root of context hierarchy
2023-04-25 17:27:47.586 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.nsapi.niceschoolapi.common.config.ShiroConfig$$EnhancerBySpringCGLIB$$9c5893aa] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:47.635 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authRealm' of type [com.nsapi.niceschoolapi.common.realm.AuthRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:48.053 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeCookie' of type [org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:48.057 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeManager' of type [org.apache.shiro.web.mgt.CookieRememberMeManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:48.071 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'webSessionManager' of type [org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:48.151 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheManager' of type [org.apache.shiro.cache.ehcache.EhCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:48.152 [restartedMain] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'com.nsapi.niceschoolapi.common.realm.AuthRealm.authorizationCache' does not yet exist.  Creating now.
2023-04-25 17:27:48.153 [restartedMain] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [com.nsapi.niceschoolapi.common.realm.AuthRealm.authorizationCache]
2023-04-25 17:27:48.163 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:48.202 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:48.243 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$cdb67566] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-25 17:27:48.805 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
