2023-04-26 00:10:13.946 [Thread-24] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Closing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@70358cc6: startup date [Tue Apr 25 23:52:15 CST 2023]; root of context hierarchy
2023-04-26 00:10:13.951 [Thread-24] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans on shutdown
2023-04-26 00:10:13.951 [Thread-24] INFO  o.s.jmx.export.annotation.AnnotationMBeanExporter - Unregistering JMX-exposed beans
2023-04-26 00:10:13.953 [Thread-24] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2023-04-26 00:10:13.963 [Thread-24] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
2023-04-26 00:10:13.964 [Thread-24] INFO  o.a.s.session.mgt.AbstractValidatingSessionManager - Disabled session validation scheduler.
2023-04-26 00:10:19.700 [restartedMain] INFO  com.nsapi.niceschoolapi.NiceschoolapiApplication - Starting NiceschoolapiApplication on DESKTOP-BJMJBA6 with PID 9384 (started by 13056 in C:\BaiDuYun\a01297t教务管理系统java源码\01、项目源码\教务系统源码)
2023-04-26 00:10:19.704 [restartedMain] INFO  com.nsapi.niceschoolapi.NiceschoolapiApplication - The following profiles are active: dev
2023-04-26 00:10:19.785 [restartedMain] INFO  o.s.b.w.s.c.AnnotationConfigServletWebServerApplicationContext - Refreshing org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@21933630: startup date [Wed Apr 26 00:10:19 CST 2023]; root of context hierarchy
2023-04-26 00:10:21.175 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'shiroConfig' of type [com.nsapi.niceschoolapi.common.config.ShiroConfig$$EnhancerBySpringCGLIB$$fef1c8a5] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:21.252 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authRealm' of type [com.nsapi.niceschoolapi.common.realm.AuthRealm] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:21.713 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeCookie' of type [org.apache.shiro.web.servlet.SimpleCookie] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:21.718 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'rememberMeManager' of type [org.apache.shiro.web.mgt.CookieRememberMeManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:21.731 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'webSessionManager' of type [org.apache.shiro.web.session.mgt.DefaultWebSessionManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:21.804 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'cacheManager' of type [org.apache.shiro.cache.ehcache.EhCacheManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:21.805 [restartedMain] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Cache with name 'com.nsapi.niceschoolapi.common.realm.AuthRealm.authorizationCache' does not yet exist.  Creating now.
2023-04-26 00:10:21.806 [restartedMain] INFO  org.apache.shiro.cache.ehcache.EhCacheManager - Added EhCache named [com.nsapi.niceschoolapi.common.realm.AuthRealm.authorizationCache]
2023-04-26 00:10:21.817 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'securityManager' of type [org.apache.shiro.web.mgt.DefaultWebSecurityManager] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:21.860 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'authorizationAttributeSourceAdvisor' of type [org.apache.shiro.spring.security.interceptor.AuthorizationAttributeSourceAdvisor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:21.904 [restartedMain] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration' of type [org.springframework.transaction.annotation.ProxyTransactionManagementConfiguration$$EnhancerBySpringCGLIB$$304faa61] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2023-04-26 00:10:22.464 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
2023-04-26 00:10:22.479 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
2023-04-26 00:10:22.489 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2023-04-26 00:10:22.489 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet Engine: Apache Tomcat/8.5.31
2023-04-26 00:10:22.493 [localhost-startStop-1] INFO  org.apache.catalina.core.AprLifecycleListener - The APR based Apache Tomcat Native library which allows optimal performance in production environments was not found on the java.library.path: [C:\Program Files\Java\jdk1.8.0_162\bin;C:\WINDOWS\Sun\Java\bin;C:\WINDOWS\system32;C:\WINDOWS;C:\ProgramData\Oracle\Java\javapath;C:\WINDOWS\system32;C:\WINDOWS;C:\WINDOWS\System32\Wbem;C:\WINDOWS\System32\WindowsPowerShell\v1.0\;C:\WINDOWS\System32\OpenSSH\;C:\Program Files\Bandizip\;C:\Program Files\dotnet\;C:\Program Files\MySQL\MySQL Server 8.0\bin;C:\Program Files\Git\cmd;C:\Program Files\Redis\;C:\Program Files\MongoDB\Server\5.0\bin;C:\Program Files\nodejs\;C:\Users\13056\AppData\Local\Microsoft\WindowsApps;C:\Program Files\Git\bin;C:\Users\13056\AppData\Roaming\npm;C:\Program Files\nodejs;;.]
2023-04-26 00:10:22.587 [localhost-startStop-1] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
2023-04-26 00:10:22.587 [localhost-startStop-1] INFO  org.springframework.web.context.ContextLoader - Root WebApplicationContext: initialization completed in 2802 ms
2023-04-26 00:10:22.809 [localhost-startStop-1] INFO  o.s.boot.web.servlet.ServletRegistrationBean - Servlet dispatcherServlet mapped to [/]
2023-04-26 00:10:22.817 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'characterEncodingFilter' to: [/*]
2023-04-26 00:10:22.818 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'hiddenHttpMethodFilter' to: [/*]
2023-04-26 00:10:22.818 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'httpPutFormContentFilter' to: [/*]
2023-04-26 00:10:22.818 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'requestContextFilter' to: [/*]
2023-04-26 00:10:22.818 [localhost-startStop-1] INFO  o.s.boot.web.servlet.FilterRegistrationBean - Mapping filter: 'shiroFilter' to: [/*]
2023-04-26 00:10:23.146 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Starting...
2023-04-26 00:10:23.510 [restartedMain] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Start completed.
2023-04-26 00:10:24.663 [restartedMain] INFO  o.s.web.servlet.handler.SimpleUrlHandlerMapping - Mapped URL path [/**/favicon.ico] onto handler of type [class org.springframework.web.servlet.resource.ResourceHttpRequestHandler]
2023-04-26 00:10:25.044 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerAdapter - Looking for @ControllerAdvice: org.springframework.boot.web.servlet.context.AnnotationConfigServletWebServerApplicationContext@21933630: startup date [Wed Apr 26 00:10:19 CST 2023]; root of context hierarchy
2023-04-26 00:10:25.109 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addStudent]}" onto public com.nsapi.niceschoolapi.entity.LayuiResult<com.nsapi.niceschoolapi.entity.StudentDB> com.nsapi.niceschoolapi.controller.AddStudentController.addStudent(com.nsapi.niceschoolapi.entity.StudentVO,java.lang.String,java.lang.String) throws java.lang.Exception
2023-04-26 00:10:25.111 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addStudentPage]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.AddStudentController.selPolitics(org.springframework.ui.Model)
2023-04-26 00:10:25.111 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addTeacher]}" onto public com.nsapi.niceschoolapi.entity.LayuiResult<com.nsapi.niceschoolapi.entity.TeacherDB> com.nsapi.niceschoolapi.controller.AddTeacherController.addTeacher(com.nsapi.niceschoolapi.entity.TeacherDB,java.lang.String,java.lang.String) throws java.lang.Exception
2023-04-26 00:10:25.111 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/addTeacherPage]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.AddTeacherController.addTeacherPage(org.springframework.ui.Model)
2023-04-26 00:10:25.114 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/seltch]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.AppraiseController.seltch()
2023-04-26 00:10:25.114 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/deleteoneev]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.deleteOneEv(java.lang.Integer)
2023-04-26 00:10:25.114 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/editoneev]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.editOneEv(com.nsapi.niceschoolapi.entity.EvaluateListDB)
2023-04-26 00:10:25.115 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/evlistcontrol]}" onto public java.lang.String com.nsapi.niceschoolapi.controller.AppraiseController.evListControl()
2023-04-26 00:10:25.115 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/findalltch]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.findalltch(com.nsapi.niceschoolapi.entity.SelEvRecardVO)
2023-04-26 00:10:25.115 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/findalltm]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.findalltm(com.nsapi.niceschoolapi.entity.EvaluateListDB,java.lang.Integer,java.lang.Integer)
2023-04-26 00:10:25.115 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/addoneev]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.addOneEv(com.nsapi.niceschoolapi.entity.EvaluateListDB)
2023-04-26 00:10:25.115 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/addoneappraise]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.addOneAppraise(com.nsapi.niceschoolapi.entity.EvTchVO)
2023-04-26 00:10:25.115 [restartedMain] INFO  o.s.w.s.m.m.a.RequestMappingHandlerMapping - Mapped "{[/appraise/selonestate]}" onto public java.lang.Object com.nsapi.niceschoolapi.controller.AppraiseController.selOneState(com.nsapi.niceschoolapi.entity.EvaluateRecordDB)
